pk,type,borrow_fee,create_time,borrow_time,member_fk
88,1,1077.70,2022-08-30 07:01:25,1,755
89,1,7968.38,2024-01-15 22:58:49,1,389
90,1,6974.64,2022-09-10 05:33:05,1,387
91,1,7681.78,2023-03-12 15:57:12,1,975
92,1,4397.09,2023-10-21 20:55:25,1,504
93,1,3228.48,2023-07-20 12:34:21,1,351
94,1,2597.19,2023-09-20 00:30:23,1,419
95,1,2796.88,2022-09-27 07:53:02,1,329
96,1,6730.18,2023-06-16 22:31:11,1,674
97,1,7343.03,2022-08-14 12:06:55,1,390
98,1,3645.50,2023-03-13 18:05:24,1,747
99,1,3875.89,2023-12-20 20:26:38,1,936
100,1,4965.15,2023-03-11 12:57:11,1,465
101,1,9608.37,2022-09-10 18:11:31,1,299
102,1,6870.49,2023-09-02 10:40:09,1,823
103,2,2093.58,2023-04-22 00:24:23,2,249
104,1,4669.25,2023-05-28 05:16:29,1,180
105,2,4791.76,2023-07-24 02:10:24,2,351
106,1,9146.55,2023-05-13 11:56:00,1,8
107,2,8944.91,2023-03-29 11:25:45,2,747
108,1,7170.79,2023-04-21 15:59:02,1,445
109,1,2235.81,2023-05-06 02:41:26,1,144
110,1,5177.20,2023-05-20 15:29:54,1,508
111,1,5903.49,2023-03-16 20:14:43,1,756
112,1,5236.78,2023-08-16 00:20:41,1,705
113,1,9023.89,2023-10-30 08:13:56,1,928
114,1,1446.26,2023-09-20 16:29:53,1,659
115,1,3128.01,2023-01-29 12:29:32,1,354
116,1,4849.00,2023-12-04 22:54:26,1,90
117,1,6420.26,2023-01-15 03:24:01,1,325
118,1,4081.95,2023-02-03 22:19:02,1,581
119,1,7894.84,2023-01-04 03:08:41,1,491
120,1,2283.21,2023-08-25 01:57:22,1,615
121,1,1583.47,2023-09-23 15:52:17,1,215
122,1,9190.14,2023-08-28 13:17:06,1,317
123,1,6421.15,2023-03-29 04:42:08,1,848
124,1,9620.03,2024-01-10 00:50:51,1,460
125,1,760.65,2024-01-12 13:27:54,1,812
126,1,8556.92,2022-12-18 11:17:21,1,401
127,1,6345.67,2023-02-15 18:11:58,1,464
128,1,8969.92,2023-03-28 03:30:38,1,128
129,1,7399.70,2023-12-21 20:05:43,1,56
130,2,3141.93,2023-04-11 12:09:12,2,890
131,1,6596.90,2022-10-30 03:03:56,1,482
132,1,8828.80,2022-08-21 03:46:29,1,925
133,1,7761.57,2023-06-07 17:59:06,1,980
134,1,4993.73,2023-01-20 22:03:05,1,399
135,1,8753.43,2022-08-10 16:12:38,1,568
136,1,9617.89,2023-02-06 13:03:35,1,226
137,1,1968.25,2023-12-11 05:58:10,1,797
138,2,3744.14,2023-09-29 06:52:38,2,215
139,1,5296.22,2023-01-11 21:13:49,1,277
140,1,4376.34,2022-09-22 12:22:22,1,644
141,1,5887.20,2023-02-13 02:01:13,1,728
142,1,8862.02,2023-03-11 23:25:30,1,510
143,1,3553.73,2023-09-11 16:54:32,1,421
144,1,6385.73,2023-08-19 00:14:09,1,143
145,2,5240.80,2024-01-24 18:28:54,2,460
146,1,8771.01,2023-08-24 07:52:28,1,609
147,1,8625.31,2023-05-29 13:29:18,1,537
148,1,3719.24,2022-08-17 02:05:24,1,798
149,1,7539.80,2022-09-10 03:32:13,1,847
150,1,9136.44,2023-07-12 09:05:25,1,427
151,1,3740.77,2023-09-08 00:38:03,1,897
152,1,829.76,2023-11-26 05:58:44,1,842
153,1,8701.65,2022-09-27 13:16:52,1,550
154,1,1104.23,2022-10-20 10:36:51,1,899
155,1,9111.51,2022-08-17 08:48:46,1,436
156,1,2563.78,2023-06-25 12:03:35,1,762
157,2,8625.16,2022-08-05 23:08:27,2,394
158,1,2676.77,2023-02-02 06:24:50,1,197
159,1,2567.58,2023-03-29 21:38:40,1,42
160,1,5286.32,2023-07-22 06:23:58,1,831
161,1,7504.97,2023-09-18 05:23:38,1,555
162,1,882.88,2023-11-06 00:51:15,1,768
163,1,8768.66,2022-10-15 12:07:07,1,865
164,1,7029.32,2023-04-03 20:31:13,1,65
165,2,942.63,2023-09-01 13:47:09,2,609
166,1,84.64,2023-11-01 13:56:18,1,59
167,1,4915.98,2022-09-19 21:36:40,1,58
168,1,3197.22,2023-09-24 06:39:13,1,972
169,1,3722.46,2023-03-17 01:44:17,1,486
170,1,7679.92,2022-10-02 03:19:15,1,687
171,1,4178.03,2023-12-19 00:15:33,1,754
172,1,3444.69,2023-08-03 20:33:30,1,259
173,1,2386.43,2023-10-12 12:41:37,1,258
174,1,1984.69,2023-12-06 16:55:59,1,476
175,1,9852.38,2023-08-09 13:22:32,1,572
176,1,3899.85,2023-05-21 17:19:15,1,198
177,1,9719.59,2023-07-17 09:10:17,1,722
178,1,1559.34,2023-02-23 18:25:51,1,667
179,2,6653.01,2023-02-01 13:49:07,2,953
180,1,2932.51,2023-01-27 06:37:13,1,577
181,1,8065.01,2023-01-22 13:55:50,1,69
182,2,8641.30,2023-01-30 09:55:50,2,69
183,1,5984.28,2022-09-14 20:42:20,1,164
184,1,4451.50,2023-04-29 09:28:44,1,608
185,1,3250.46,2023-12-23 15:20:43,1,719
186,1,3918.84,2022-11-01 22:24:20,1,554
187,1,1587.75,2023-08-26 13:01:29,1,410
188,2,3667.15,2023-09-25 08:35:42,2,555
189,1,416.40,2022-12-28 17:40:18,1,732
190,2,8428.35,2023-02-16 11:38:40,2,226
191,1,2919.46,2022-12-15 05:30:18,1,965
192,2,9986.01,2023-02-27 06:21:10,2,77
193,1,4988.38,2023-04-06 07:04:41,1,269
194,1,195.52,2023-09-15 01:32:59,1,102
195,1,3204.50,2022-08-07 18:24:11,1,314
196,1,6191.70,2023-10-30 22:28:23,1,50
197,1,8744.39,2023-11-29 03:38:10,1,637
198,1,35.53,2022-12-14 11:14:53,1,233
199,1,6405.67,2023-12-12 09:31:12,1,201
200,1,5074.19,2023-07-13 18:41:50,1,221
201,1,3972.69,2023-06-21 11:09:33,1,792
202,1,7904.02,2023-05-31 20:33:57,1,551
203,1,2678.08,2022-07-24 14:51:05,1,472
204,1,6046.54,2023-04-09 14:45:36,1,937
205,1,1882.64,2023-02-12 07:19:01,1,759
206,1,7448.90,2023-08-11 08:35:39,1,432
207,2,40.44,2023-11-12 16:07:15,2,98
208,1,576.73,2023-03-15 03:10:05,1,918
209,1,1942.69,2024-01-17 21:44:38,1,340
210,2,3088.14,2023-03-28 21:05:25,2,118
211,1,2104.38,2022-08-23 23:06:27,1,614
212,2,8978.73,2022-10-31 18:22:51,2,899
213,1,5941.77,2023-04-19 21:14:15,1,423
214,1,9097.31,2022-07-28 04:43:33,1,868
215,1,8576.34,2023-07-23 13:26:26,1,595
216,1,2563.23,2023-10-04 08:01:27,1,322
217,1,6301.75,2024-01-22 11:57:13,1,323
218,1,9150.69,2023-03-17 07:34:02,1,998
219,1,8687.06,2023-10-28 08:09:26,1,969
220,1,2502.14,2023-01-17 23:30:26,1,991
221,1,2091.80,2023-03-07 09:20:23,1,668
222,1,3966.00,2024-01-06 09:01:39,1,444
223,2,9712.54,2023-06-12 02:16:26,2,494
224,1,1184.50,2023-06-25 22:08:59,1,743
225,1,5617.86,2023-11-16 00:09:55,1,661
226,1,2129.95,2023-01-10 23:30:08,1,845
227,1,3925.27,2023-01-23 17:31:22,1,17
228,2,985.62,2022-09-10 18:25:46,3,68
229,1,9551.36,2023-06-19 18:52:45,1,540
230,1,9848.67,2023-02-03 23:53:25,1,653
231,1,6123.19,2023-06-02 20:00:39,1,469
232,1,7898.47,2023-07-05 05:38:17,1,669
233,1,8505.37,2023-07-02 13:54:50,1,216
234,1,7016.32,2023-02-18 23:14:51,1,571
235,1,7472.41,2022-08-28 19:37:50,1,82
236,1,7570.62,2024-01-02 03:54:27,1,374
237,1,2635.07,2023-12-21 02:24:24,1,807
238,1,2365.94,2023-03-23 23:08:00,1,592
239,1,498.61,2023-08-19 18:34:25,1,33
240,1,4229.03,2023-03-30 22:57:42,1,260
241,1,1228.99,2023-01-30 10:59:16,1,516
242,1,512.59,2023-02-17 04:47:06,1,488
243,2,4155.59,2023-01-16 22:37:57,2,277
244,2,3828.61,2023-08-07 09:51:42,3,351
245,1,9050.18,2023-07-26 20:43:57,1,996
246,1,62.99,2023-01-01 10:28:27,1,452
247,1,979.19,2023-02-09 23:52:49,1,709
248,1,7782.52,2023-01-18 22:29:57,1,76
249,1,2787.85,2023-11-17 08:10:22,1,222
250,1,5789.60,2023-06-16 05:15:43,1,225
251,1,9648.34,2022-11-30 13:30:52,1,384
252,1,3726.28,2023-02-25 08:47:44,1,790
253,1,4572.24,2023-12-08 14:00:50,1,822
254,1,3002.92,2023-06-20 04:50:12,1,976
255,1,4319.29,2022-12-26 12:43:30,1,289
256,2,5833.54,2022-10-02 00:26:43,3,349
257,1,3574.21,2022-11-08 18:33:27,1,881
258,1,4837.33,2023-05-28 10:26:47,1,239
259,1,8816.55,2022-09-23 17:20:49,1,188
260,1,1994.72,2023-08-24 06:53:53,1,324
261,1,6058.13,2023-07-30 03:00:43,1,700
262,2,460.97,2023-03-20 21:15:23,2,756
263,2,8992.59,2023-02-22 03:00:37,2,786
264,1,4134.42,2023-08-30 02:57:01,1,542
265,1,7580.62,2022-12-28 17:35:07,1,439
266,1,7884.05,2022-08-15 21:54:09,1,670
267,1,3824.83,2022-11-30 02:58:13,1,647
268,2,943.81,2023-09-22 15:20:22,2,419
269,1,7361.52,2023-07-19 08:49:40,1,560
270,1,4151.94,2023-02-28 18:03:08,1,813
271,1,3924.47,2022-09-14 11:29:26,1,649
272,2,2157.60,2022-12-02 09:48:06,2,384
273,2,2278.45,2023-02-13 21:08:45,2,709
274,1,6213.58,2023-11-28 13:28:17,1,873
275,1,7457.19,2023-09-09 01:17:50,1,726
276,1,489.23,2023-12-26 15:03:11,1,992
277,1,2467.50,2023-02-18 13:00:07,1,470
278,2,3871.85,2023-01-30 21:14:16,3,277
279,1,4441.54,2022-09-13 12:06:32,1,954
280,1,1944.36,2023-02-16 08:12:38,1,219
281,1,9299.08,2023-01-02 01:15:51,1,785
282,1,4236.81,2022-08-19 04:35:29,1,224
283,2,2429.82,2023-02-15 22:02:03,2,22
284,2,8480.25,2023-12-25 04:25:02,2,56
285,2,9552.82,2023-01-08 10:46:11,2,439
286,1,2225.05,2023-12-20 23:23:37,1,255
287,1,1590.74,2023-10-21 18:55:52,1,246
288,1,5640.79,2022-10-29 22:13:19,1,97
289,1,1654.26,2022-10-07 18:32:05,1,760
290,1,3296.45,2023-02-13 11:37:00,1,563
291,2,9438.86,2024-01-10 20:44:39,2,444
292,1,300.50,2023-06-29 02:37:58,1,915
293,2,1005.01,2023-06-13 01:05:13,2,469
294,1,805.93,2022-10-19 00:33:14,1,372
295,1,2634.28,2023-01-14 14:28:35,1,658
296,2,7282.14,2022-10-28 19:06:14,2,372
297,1,8511.69,2023-03-21 14:54:30,1,943
298,1,8422.17,2023-02-01 15:44:25,1,63
299,2,841.49,2023-12-13 10:18:37,2,90
300,1,1122.80,2022-09-03 18:02:53,1,417
301,1,2403.45,2023-11-08 20:17:41,1,407
302,1,4241.39,2022-10-07 10:48:47,1,607
303,1,1292.25,2023-01-04 02:20:45,1,178
304,1,2976.66,2023-03-16 22:54:31,1,131
305,2,2925.86,2023-01-16 11:25:41,2,491
306,1,3484.83,2023-06-06 01:04:15,1,799
307,1,3208.42,2022-07-21 11:48:37,1,525
308,1,6792.01,2022-07-28 01:27:40,1,810
309,1,2149.03,2023-03-11 02:16:19,1,412
310,2,9964.68,2023-01-19 14:53:49,2,845
311,1,8536.44,2023-08-08 00:18:34,1,190
312,1,783.17,2022-08-16 23:51:50,1,864
313,2,9600.01,2023-09-22 14:22:59,2,897
314,1,6828.68,2023-12-29 05:46:48,1,776
315,2,1999.56,2023-04-20 08:18:14,3,890
316,1,63.16,2023-07-27 06:04:47,1,57
317,1,4667.13,2023-10-03 07:28:05,1,824
318,1,2751.04,2023-12-28 17:52:26,1,956
319,2,2715.89,2023-03-27 01:22:47,2,592
320,1,4275.05,2023-04-17 12:49:56,1,859
321,1,8600.98,2022-07-23 21:15:04,1,426
322,1,2921.25,2023-10-09 23:26:19,1,232
323,2,8711.02,2023-10-08 08:31:02,3,897
324,2,8881.80,2023-05-16 05:34:55,2,144
325,1,9041.61,2023-06-25 13:51:11,1,808
326,1,4840.50,2023-09-02 16:54:48,1,654
327,2,9121.91,2023-04-17 07:18:11,2,269
328,1,4791.10,2023-02-17 03:09:40,1,840
329,1,8941.26,2022-08-11 00:16:50,1,666
330,1,2508.93,2023-12-05 17:35:32,1,517
331,1,2792.11,2022-09-11 11:58:44,1,11
332,1,305.51,2023-08-17 06:57:35,1,281
333,2,9509.56,2023-03-21 12:40:37,2,486
334,1,1014.84,2023-12-28 22:37:54,1,493
335,2,1958.61,2023-11-29 05:53:54,2,842
336,1,1352.92,2023-08-06 18:32:18,1,115
337,2,6053.05,2022-12-13 13:00:32,2,392
338,2,2141.98,2023-06-16 07:09:43,2,839
339,1,508.59,2023-07-10 22:39:43,1,801
340,1,1932.70,2022-08-04 06:34:35,1,73
341,2,219.21,2023-07-31 14:33:20,2,57
342,1,2977.58,2023-09-10 04:26:01,1,815
343,2,309.39,2022-10-09 09:33:33,2,329
344,1,4749.67,2022-11-29 10:33:38,1,483
345,2,5405.57,2023-12-13 04:08:45,2,637
346,1,9943.18,2023-05-08 03:32:06,1,886
347,1,4443.13,2022-09-04 05:11:40,1,806
348,1,9104.59,2023-03-19 07:15:30,1,665
349,2,5182.52,2022-12-28 21:20:48,2,401
350,1,5087.84,2022-09-30 01:14:37,1,862
351,1,4852.76,2023-02-13 23:26:40,1,123
352,1,1744.08,2023-12-20 07:12:46,1,344
353,1,660.39,2023-07-01 15:04:32,1,987
354,1,8151.78,2023-07-11 10:23:56,1,830
355,2,1749.74,2023-09-13 01:20:25,2,726
356,1,7523.52,2023-05-27 14:38:34,1,931
357,1,4006.82,2023-01-09 09:58:02,1,183
358,1,9117.73,2022-08-20 18:07:31,1,191
359,1,770.24,2023-05-22 09:38:12,1,241
360,1,4210.21,2023-08-09 08:06:19,1,321
361,1,3523.82,2022-08-03 04:03:58,1,153
362,1,1884.89,2022-09-22 04:39:36,1,642
363,1,7622.25,2023-01-30 00:18:20,1,179
364,1,7097.99,2022-08-16 17:26:57,1,605
365,1,6114.49,2022-08-31 09:58:49,1,662
366,1,766.44,2023-11-23 18:29:35,1,110
367,2,1928.42,2023-03-22 13:15:44,2,412
368,1,4603.21,2023-08-26 13:15:55,1,893
369,1,5113.07,2023-06-21 04:47:05,1,150
370,1,6792.56,2023-11-14 18:47:09,1,455
371,2,3126.98,2023-01-24 23:06:52,2,325
372,1,9726.33,2023-11-24 04:49:46,1,477
373,1,6629.83,2023-11-03 17:43:19,1,332
374,1,6086.91,2023-12-30 12:31:56,1,132
375,1,895.70,2024-01-09 04:52:28,1,327
376,1,1324.01,2023-08-06 19:11:19,1,29
377,2,8572.15,2023-07-05 06:17:26,2,915
378,2,7014.42,2023-07-20 20:46:35,2,427
379,1,323.09,2023-12-27 17:26:23,1,958
380,1,3723.96,2023-05-12 08:47:13,1,251
381,1,7105.38,2023-07-03 23:56:58,1,47
382,1,9056.25,2022-12-07 21:44:15,1,218
383,1,9117.15,2023-06-07 11:19:56,1,326
384,2,8987.54,2023-05-26 11:24:59,2,748
385,1,7445.19,2022-09-27 02:21:25,1,724
386,1,7425.28,2023-12-20 12:52:14,1,588
387,1,2367.39,2023-05-29 12:38:55,1,626
388,1,1613.49,2023-12-23 06:58:16,1,524
389,1,5536.95,2023-04-25 05:03:08,1,270
390,1,7749.81,2023-04-09 06:48:19,1,783
391,2,8616.55,2023-02-19 20:44:15,2,464
392,1,6325.74,2023-01-06 18:14:43,1,877
393,2,4652.05,2023-02-06 18:05:53,3,953
394,1,7229.16,2024-01-27 08:23:04,1,437
395,2,5456.40,2023-02-22 06:18:57,4,953
396,2,8493.19,2023-12-27 08:08:03,2,719
397,2,6905.30,2023-08-11 11:29:39,2,29
398,1,8869.07,2023-07-14 15:41:55,1,851
399,1,2342.57,2023-07-14 18:20:55,1,680
400,2,8967.41,2023-06-25 18:02:35,2,150
401,1,5947.77,2023-04-19 21:46:46,1,520
402,1,5171.40,2023-06-27 08:39:44,1,453
403,1,9258.06,2023-03-22 08:04:37,1,973
404,1,9612.85,2023-03-15 15:06:14,1,142
405,1,812.52,2022-12-28 02:57:31,1,927
406,1,1737.54,2023-01-03 17:14:51,1,867
407,1,690.93,2023-05-30 08:59:54,1,725
408,1,4166.22,2023-11-13 12:10:04,1,55
409,1,3558.87,2023-08-04 21:35:21,1,167
410,1,9936.52,2022-12-28 15:41:59,1,74
411,1,9298.69,2023-11-14 03:33:51,1,28
412,1,9603.77,2022-12-09 06:36:24,1,395
413,2,8386.62,2023-01-17 07:40:03,2,183
414,2,144.42,2023-01-19 10:46:17,3,491
415,1,3756.88,2022-08-28 14:53:32,1,87
416,1,3689.75,2023-12-09 21:02:45,1,744
417,2,7873.64,2023-09-13 18:15:57,3,726
418,1,7576.13,2022-12-08 19:36:34,1,947
419,1,5506.22,2022-12-02 10:26:30,1,656
420,1,9559.76,2023-02-07 05:43:09,1,3
421,1,7954.96,2022-08-22 05:23:18,1,767
422,2,6563.74,2023-01-01 02:46:20,2,74
423,1,4352.61,2022-12-21 10:02:50,1,163
424,2,3701.49,2023-07-03 14:38:23,2,216
425,1,7991.06,2023-12-18 17:41:31,1,227
426,2,6336.55,2023-03-15 22:16:57,2,386
427,2,6531.92,2023-01-20 01:26:24,4,491
428,2,6704.43,2022-12-30 18:52:26,2,238
429,1,1643.70,2023-04-23 08:03:53,1,497
430,2,2614.68,2022-12-21 06:57:32,2,395
431,1,6800.66,2023-06-10 01:56:09,1,579
432,1,8007.59,2023-12-23 10:46:22,1,285
433,1,4455.46,2023-09-03 21:11:13,1,617
434,1,8617.54,2023-07-09 17:00:43,1,367
435,1,3757.82,2023-09-01 20:11:38,1,763
436,2,6732.63,2023-03-21 11:10:28,2,918
437,2,6680.95,2022-09-24 19:00:47,2,644
438,2,1548.38,2023-02-01 16:55:19,2,76
439,1,581.00,2023-04-28 00:16:17,1,70
440,2,7057.71,2023-02-16 08:58:27,2,123
441,1,9005.05,2023-06-07 16:49:58,1,827
442,2,5031.51,2023-02-04 00:47:05,2,296
443,2,6250.72,2022-12-10 07:31:39,2,647
444,2,1833.03,2024-01-21 13:10:49,2,327
445,2,3696.38,2023-11-24 14:34:02,2,477
446,1,7651.21,2024-01-20 21:39:55,1,378
447,1,3505.49,2022-09-09 20:55:11,1,12
448,1,3896.20,2024-01-04 23:10:05,1,651
449,1,5870.63,2023-12-12 19:36:06,1,313
450,1,5871.25,2022-09-19 15:33:15,1,574
451,1,2207.12,2023-12-30 04:04:36,1,630
452,1,564.05,2022-10-08 08:19:56,1,175
453,2,984.83,2024-01-25 23:42:39,2,389
454,2,649.51,2023-02-20 23:05:03,2,728
455,1,5640.84,2022-11-16 00:28:17,1,75
456,2,8607.10,2023-07-12 10:18:17,2,192
457,1,3562.43,2023-10-31 13:21:50,1,496
458,1,1315.06,2023-06-20 04:01:22,1,620
459,2,7899.99,2023-01-03 13:09:16,2,289
460,2,2178.82,2023-11-20 12:27:55,2,222
461,1,6390.77,2022-09-29 21:02:43,1,498
462,2,3376.22,2022-12-09 04:24:49,3,384
463,2,9690.07,2023-12-24 03:57:46,2,797
464,1,6723.45,2023-01-05 06:34:08,1,849
465,1,6643.91,2023-12-23 15:34:39,1,382
466,1,5237.12,2024-01-20 11:09:05,1,264
467,1,2010.15,2023-10-24 07:04:22,1,737
468,1,3965.19,2023-10-14 11:30:59,1,291
469,1,870.08,2023-12-13 00:21:42,1,170
470,2,8854.33,2023-01-01 13:26:55,3,74
471,2,8275.01,2023-09-27 23:59:13,2,892
472,1,776.87,2023-10-25 01:16:06,1,731
473,1,9774.52,2023-08-25 16:06:15,1,112
474,2,5045.86,2022-08-21 11:44:22,2,864
475,2,5930.99,2024-01-15 18:41:39,2,812
476,1,658.63,2023-08-07 10:41:40,1,402
477,1,8203.01,2023-10-01 06:11:43,1,125
478,2,5140.22,2023-02-02 20:01:44,2,179
479,1,2908.84,2023-01-10 07:28:47,1,678
480,1,5602.51,2022-07-27 23:33:38,1,81
481,2,6846.93,2023-06-08 04:58:07,2,626
482,1,5386.51,2024-01-01 14:45:01,1,932
483,2,2099.58,2023-07-20 10:03:55,2,851
484,1,5279.08,2023-12-15 03:42:48,1,347
485,2,5729.92,2023-03-08 22:58:37,3,786
486,1,3667.78,2022-10-05 18:28:20,1,209
487,2,548.63,2023-06-11 04:38:02,2,114
488,1,71.56,2023-06-04 08:49:56,1,237
489,2,5833.62,2022-12-30 19:43:14,3,238
490,2,9846.63,2023-01-06 04:52:15,2,178
491,1,9301.73,2023-09-16 23:10:51,1,341
492,1,7616.89,2023-03-16 12:43:40,1,379
493,1,9408.78,2023-03-21 20:18:59,1,534
494,2,4967.82,2023-03-18 06:45:57,2,510
495,2,4894.35,2022-11-04 02:03:22,2,405
496,2,2728.64,2023-12-26 04:42:09,2,524
497,1,3260.23,2023-07-03 15:21:09,1,539
498,1,7163.50,2023-07-31 21:20:12,1,428
499,2,563.53,2022-11-07 07:13:26,2,891
500,2,7895.21,2023-08-29 07:11:38,2,112
501,1,3377.07,2023-02-23 04:03:28,1,511
502,1,946.23,2023-04-13 22:52:25,1,844
503,1,2913.14,2023-11-02 13:09:17,1,880
504,2,5471.21,2023-08-19 09:26:21,2,115
505,1,68.26,2023-04-29 07:38:22,1,375
506,1,4352.71,2023-10-09 16:00:58,1,988
507,2,5317.29,2024-01-04 04:40:37,2,493
508,2,9157.06,2022-08-18 01:02:57,2,390
509,1,3076.92,2022-09-10 18:53:48,1,408
510,2,5008.70,2023-03-01 14:55:01,2,571
511,1,5363.94,2022-09-26 23:44:12,1,176
512,1,3671.46,2022-11-29 07:30:16,1,196
513,1,9925.49,2023-04-25 21:27:26,1,53
514,1,9930.84,2022-09-06 02:20:36,1,254
515,1,5306.93,2023-02-17 07:18:07,1,924
516,2,7435.10,2022-10-08 13:57:01,2,687
517,1,1746.89,2022-10-24 06:12:02,1,672
518,2,7746.54,2023-07-10 04:26:20,2,771
519,1,1163.36,2024-01-01 01:27:15,1,861
520,1,2267.37,2023-06-20 14:10:14,1,93
521,1,8656.86,2023-01-16 07:19:32,1,467
522,2,6439.83,2022-10-18 00:45:20,2,318
523,1,2707.55,2023-01-13 21:25:27,1,171
524,2,3578.80,2022-10-20 04:18:20,2,458
525,1,7278.18,2023-06-05 11:01:51,1,228
526,2,8245.37,2023-02-12 18:05:29,3,76
527,2,9268.14,2023-01-07 14:05:13,2,19
528,2,7027.13,2022-08-19 11:37:48,2,73
529,2,6212.98,2022-12-28 04:34:35,2,163
530,1,5886.92,2023-01-28 08:21:00,1,718
531,2,2068.78,2024-01-31 13:57:05,3,389
532,2,4719.01,2023-07-01 15:38:00,2,699
533,2,3417.62,2023-03-05 18:58:03,2,667
534,2,7906.14,2023-10-20 22:55:40,2,988
535,1,4090.67,2023-11-03 21:52:07,1,549
536,1,5431.10,2023-12-13 17:48:45,1,787
537,2,4839.00,2023-03-15 22:27:48,2,813
538,2,3018.94,2022-10-23 03:56:34,2,950
